Transient Name,Epoch,Peak Flux,RMS Flux,Delta T
ZTF18aansqom,VLASS3.1,0.977,0.242,691.51
ZTF18aansqov,VLASS1.2v2,0.537,0.17,-765.32
ZTF18aansqov,VLASS2.2,0.365,0.132,159.68
ZTF18aansqun,VLASS1.2v2,0.321,0.107,298.76
ZTF18aansqun,VLASS2.2,0.257,0.109,1223.76
ZTF18aanxlcr,VLASS1.1v2,0.203,0.097,-1975.43
ZTF18aanxlcr,VLASS2.1,0.27,0.11,-938.43
ZTF18aanxlcr,VLASS3.1,0.289,0.137,-30.43
ZTF18aanygjk,VLASS1.1v2,0.279,0.122,-648.37
ZTF18aanygjk,VLASS2.1,0.379,0.128,439.63
ZTF18aanygjk,VLASS3.1,0.245,0.107,1331.63
ZTF18aaotzhu,VLASS1.2v2,0.388,0.11,330.67
ZTF18aaotzhu,VLASS2.2,0.223,0.104,1259.67
ZTF18aaoufjt,VLASS1.1v2,0.275,0.113,-538.26
ZTF18aaoufjt,VLASS2.1,0.383,0.128,471.74
ZTF18aaoufjt,VLASS3.1,0.29,0.089,1390.74
ZTF18aaovbiy,VLASS1.1v2,0.248,0.095,-214.34
ZTF18aaovbiy,VLASS2.1,0.352,0.131,888.66
ZTF18aaovbiy,VLASS3.1,0.282,0.127,1723.66
ZTF18aaoxrup,VLASS1.1v2,0.389,0.133,-914.38
ZTF18aaoxrup,VLASS2.1,0.421,0.132,136.62
ZTF18aaoxrup,VLASS3.1,0.28,0.113,1028.62
ZTF18aapgrxo,VLASS1.1v2,0.311,0.123,-254.39
ZTF18aapgrxo,VLASS2.1,0.309,0.135,789.61
ZTF18aapgrxo,VLASS3.1,0.271,0.094,1722.61
ZTF18aaphzut,VLASS1.2v2,0.46,0.166,358.83
ZTF18aaphzut,VLASS2.2,0.273,0.124,1258.83
ZTF18aapictz,VLASS1.2v2,0.413,0.179,330.81
ZTF18aapictz,VLASS2.2,0.244,0.107,1272.81
ZTF18aapifti,VLASS1.2v2,0.373,0.136,310.8
ZTF18aapifti,VLASS2.2,0.311,0.112,1274.8
ZTF18aaqcqvr,VLASS1.2v2,0.351,0.141,330.72
ZTF18aaqcqvr,VLASS2.2,0.286,0.113,1287.72
ZTF18aaqcugm,VLASS1.1v2,0.308,0.111,-179.23
ZTF18aaqcugm,VLASS2.1,0.388,0.166,807.77
ZTF18aaqcugm,VLASS3.1,0.209,0.079,1728.77
ZTF18aaqedfj,VLASS1.1v2,0.314,0.128,-215.27
ZTF18aaqedfj,VLASS2.1,0.479,0.146,855.73
ZTF18aaqedfj,VLASS3.1,0.284,0.125,1761.73
ZTF18aaqehoc,VLASS1.2v2,0.287,0.121,314.72
ZTF18aaqehoc,VLASS2.2,0.362,0.116,1239.72
ZTF18aaqfqaa,VLASS1.1v2,0.239,0.114,-157.28
ZTF18aaqfqaa,VLASS2.1,0.338,0.134,811.72
ZTF18aaqfqaa,VLASS3.1,0.349,0.13,1746.72
ZTF18aaqfziz,VLASS1.2v2,0.481,0.173,324.7
ZTF18aaqfziz,VLASS2.2,0.382,0.119,1253.7
ZTF18aaqgadq,VLASS1.2v2,0.409,0.144,317.73
ZTF18aaqgadq,VLASS2.2,0.332,0.128,1246.73
ZTF18aaqgbju,VLASS1.1v2,0.393,0.118,-161.34
ZTF18aaqgbju,VLASS2.1,0.289,0.143,866.66
ZTF18aaqgbju,VLASS3.1,0.331,0.133,1719.66
ZTF18aaqjhqz,VLASS1.2v2,0.467,0.146,372.83
ZTF18aaqjhqz,VLASS2.2,0.299,0.129,1241.83
ZTF18aaqjovh,VLASS1.2v2,0.274,0.093,336.76
ZTF18aaqjovh,VLASS2.2,0.336,0.133,1278.76
ZTF18aaqjqqc,VLASS1.1v2,0.31,0.104,-1955.42
ZTF18aaqjqqc,VLASS2.1,0.373,0.172,-938.42
ZTF18aaqjqqc,VLASS3.1,0.372,0.125,-49.42
ZTF18aaqkcso,VLASS1.1v2,0.508,0.138,-588.23
ZTF18aaqkcso,VLASS2.1,0.381,0.122,479.77
ZTF18aaqkcso,VLASS3.1,0.297,0.124,1385.77
ZTF18aaqkdwu,VLASS1.2v2,0.291,0.115,-51.26
ZTF18aaqkdwu,VLASS2.2,0.291,0.123,927.74
ZTF18aaqkjuw,VLASS1.1v2,0.39,0.123,-410.51
ZTF18aaqkjuw,VLASS2.1,0.36,0.177,633.49
ZTF18aaqkjuw,VLASS3.1,0.32,0.108,1554.49
ZTF18aaqkoyr,VLASS1.2v2,0.347,0.136,345.75
ZTF18aaqkoyr,VLASS2.2,0.347,0.147,1273.75
ZTF18aaqkqxi,VLASS1.2v2,0.566,0.182,357.76
ZTF18aaqkqxi,VLASS2.2,0.397,0.138,1280.76
ZTF18aaqldvl,VLASS1.1v2,0.293,0.102,-1640.3
ZTF18aaqldvl,VLASS2.1,0.233,0.105,-591.3
ZTF18aaqldvl,VLASS3.1,0.229,0.105,239.7
ZTF18aaqnxjb,VLASS1.1v2,0.341,0.133,-1309.24
ZTF18aaqnxjb,VLASS2.1,0.379,0.142,-313.24
ZTF18aaqnxjb,VLASS3.1,0.502,0.124,589.76
ZTF18aaqpeoq,VLASS1.1v2,0.313,0.143,-1706.43
ZTF18aaqpeoq,VLASS2.1,0.549,0.168,-633.43
ZTF18aaqpeoq,VLASS3.1,0.193,0.13,269.57
ZTF18aaqpjja,VLASS1.2v2,0.401,0.123,362.78
ZTF18aaqpjja,VLASS2.2,0.196,0.083,1304.78
ZTF18aaqpkvx,VLASS1.1v2,0.303,0.124,-209.22
ZTF18aaqpkvx,VLASS2.1,0.332,0.152,817.78
ZTF18aaqpkvx,VLASS3.1,0.285,0.126,1713.78
ZTF18aaqqhis,VLASS1.2v2,0.345,0.156,370.78
ZTF18aaqqhis,VLASS2.2,0.263,0.119,1287.78
ZTF18aaqqoqs,VLASS1.2v2,0.232,0.113,299.76
ZTF18aaqqoqs,VLASS2.2,0.256,0.1,1278.76
ZTF18aaqskoy,VLASS1.1v2,0.297,0.101,-188.42
ZTF18aaqskoy,VLASS2.1,0.244,0.117,848.58
ZTF18aaqskoy,VLASS3.1,0.345,0.116,1756.58
ZTF18aaqvuhl,VLASS1.1v2,0.414,0.098,-742.57
ZTF18aaqvuhl,VLASS2.1,0.364,0.131,278.43
ZTF18aaqvuhl,VLASS3.1,0.314,0.165,1136.43
ZTF18aaqydat,VLASS1.1v2,0.758,0.215,-1301.33
ZTF18aaqydat,VLASS2.1,0.355,0.143,-286.33
ZTF18aaqydat,VLASS3.1,0.318,0.137,621.67
ZTF18aarasof,VLASS1.1v2,0.243,0.112,-239.4
ZTF18aarasof,VLASS2.1,0.257,0.118,829.6
ZTF18aarasof,VLASS3.1,0.475,0.113,1745.6
ZTF18aarbaba,VLASS1.2v2,0.299,0.132,-460.37
ZTF18aarbaba,VLASS2.2,0.396,0.121,462.63
ZTF18aarbgdn,VLASS1.1v2,0.349,0.156,-213.15
ZTF18aarbgdn,VLASS2.1,0.419,0.133,887.85
ZTF18aarbgdn,VLASS3.1,0.375,0.116,1727.85
ZTF18aarbify,VLASS1.2v2,0.406,0.152,346.84
ZTF18aarbify,VLASS2.2,0.258,0.104,1302.84
ZTF18aarcygc,VLASS1.2v2,0.426,0.172,392.84
ZTF18aarcygc,VLASS2.2,0.435,0.184,1314.84
ZTF18aarcypa,VLASS1.2v2,0.247,0.117,328.79
ZTF18aarcypa,VLASS2.2,0.396,0.115,1289.79
ZTF18aarikzk,VLASS1.1v2,0.312,0.128,-936.36
ZTF18aarikzk,VLASS2.1,0.463,0.139,166.64
ZTF18aarikzk,VLASS3.1,0.251,0.1,1001.64
ZTF18aaripcr,VLASS1.1v2,0.278,0.114,-189.25
ZTF18aaripcr,VLASS2.1,0.327,0.139,840.75
ZTF18aaripcr,VLASS3.1,0.285,0.116,1728.75
ZTF18aarlpzd,VLASS1.1v2,26.644,2.785,-870.21
ZTF18aarlpzd,VLASS2.1,30.532,3.357,129.79
ZTF18aarlpzd,VLASS3.1,28.406,2.972,1048.79
ZTF18aarlukc,VLASS1.1v2,0.233,0.096,-611.2
ZTF18aarlukc,VLASS2.1,0.37,0.141,484.8
ZTF18aarlukc,VLASS3.1,0.313,0.149,1347.8
ZTF18aarmnnd,VLASS1.2v2,0.569,0.152,-1511.3
ZTF18aarmnnd,VLASS2.2,0.355,0.121,-526.3
ZTF18aarnbhk,VLASS1.1v2,0.2,0.099,-1808.5
ZTF18aarnbhk,VLASS2.1,0.369,0.116,-775.5
ZTF18aarnbhk,VLASS3.1,0.368,0.153,76.5
ZTF18aaroihe,VLASS1.1v2,0.249,0.103,-228.18
