Name,Ra_hourangle,Dec_degree,Epoch,Date,File_path
ZTF18aafdigb,7.116783333333334,27.068944444444444,VLASS3.2,2024-07-14,ia_npy_arrays\ZTF18aafdigb_VLASS3.2_array.npy
ZTF18aafpfwr,6.956280555555557,21.670916666666667,VLASS1.2,2019-03-29,ia_npy_arrays\ZTF18aafpfwr_VLASS1.2v2_array.npy
ZTF18aafpfwr,6.956280555555557,21.670916666666667,VLASS2.2,2021-12-14,ia_npy_arrays\ZTF18aafpfwr_VLASS2.2_array.npy
ZTF18aafpfwr,6.956280555555557,21.670916666666667,VLASS3.2,2024-06-19,ia_npy_arrays\ZTF18aafpfwr_VLASS3.2_array.npy
ZTF18aafzers,8.20159722222222,29.40394444444444,VLASS1.2,2019-04-13,ia_npy_arrays\ZTF18aafzers_VLASS1.2v2_array.npy
ZTF18aafzers,8.20159722222222,29.40394444444444,VLASS2.2,2021-11-29,ia_npy_arrays\ZTF18aafzers_VLASS2.2_array.npy
ZTF18aafzers,8.20159722222222,29.40394444444444,VLASS3.2,2024-07-06,ia_npy_arrays\ZTF18aafzers_VLASS3.2_array.npy
ZTF18aagrtxs,13.24040277777778,50.977694444444445,VLASS1.1,2017-11-19,ia_npy_arrays\ZTF18aagrtxs_VLASS1.1v2_array.npy
ZTF18aagrtxs,13.24040277777778,50.977694444444445,VLASS2.1,2020-08-01,ia_npy_arrays\ZTF18aagrtxs_VLASS2.1_array.npy
ZTF18aagrtxs,13.24040277777778,50.977694444444445,VLASS3.1,2023-02-04,ia_npy_arrays\ZTF18aagrtxs_VLASS3.1_array.npy
ZTF18aagstdc,15.834319444444446,42.08847222222222,VLASS1.2,2019-03-28,ia_npy_arrays\ZTF18aagstdc_VLASS1.2v2_array.npy
ZTF18aagstdc,15.834319444444446,42.08847222222222,VLASS2.2,2021-10-08,ia_npy_arrays\ZTF18aagstdc_VLASS2.2_array.npy
ZTF18aagstdc,15.834319444444446,42.08847222222222,VLASS3.2,2024-06-21,ia_npy_arrays\ZTF18aagstdc_VLASS3.2_array.npy
ZTF18aagtcxj,16.53654166666667,42.71336111111111,VLASS1.2,2019-05-04,ia_npy_arrays\ZTF18aagtcxj_VLASS1.2v2_array.npy
ZTF18aagtcxj,16.53654166666667,42.71336111111111,VLASS2.2,2021-11-14,ia_npy_arrays\ZTF18aagtcxj_VLASS2.2_array.npy
ZTF18aagtcxj,16.53654166666667,42.71336111111111,VLASS3.2,2024-06-12,ia_npy_arrays\ZTF18aagtcxj_VLASS3.2_array.npy
ZTF18aagtwyh,12.661644444444445,16.537916666666668,VLASS1.2,2019-03-21,ia_npy_arrays\ZTF18aagtwyh_VLASS1.2v2_array.npy
ZTF18aagtwyh,12.661644444444445,16.537916666666668,VLASS2.2,2021-11-20,ia_npy_arrays\ZTF18aagtwyh_VLASS2.2_array.npy
ZTF18aagtwyh,12.661644444444445,16.537916666666668,VLASS3.2,2024-05-31,ia_npy_arrays\ZTF18aagtwyh_VLASS3.2_array.npy
ZTF18aahatvc,15.367936111111112,30.04875,VLASS1.1,2017-10-02,ia_npy_arrays\ZTF18aahatvc_VLASS1.1v2_array.npy
ZTF18aahatvc,15.367936111111112,30.04875,VLASS2.1,2020-10-09,ia_npy_arrays\ZTF18aahatvc_VLASS2.1_array.npy
ZTF18aahatvc,15.367936111111112,30.04875,VLASS3.1,2023-01-22,ia_npy_arrays\ZTF18aahatvc_VLASS3.1_array.npy
ZTF18aahesrp,8.595952777777779,28.27025,VLASS1.2,2019-05-05,ia_npy_arrays\ZTF18aahesrp_VLASS1.2v2_array.npy
ZTF18aahesrp,8.595952777777779,28.27025,VLASS2.2,2021-12-03,ia_npy_arrays\ZTF18aahesrp_VLASS2.2_array.npy
ZTF18aahesrp,8.595952777777779,28.27025,VLASS3.2,2024-07-09,ia_npy_arrays\ZTF18aahesrp_VLASS3.2_array.npy
ZTF18aahjafd,13.218294444444446,23.459333333333333,VLASS1.1,2017-09-25,ia_npy_arrays\ZTF18aahjafd_VLASS1.1v2_array.npy
ZTF18aahjafd,13.218294444444446,23.459333333333333,VLASS2.1,2020-07-15,ia_npy_arrays\ZTF18aahjafd_VLASS2.1_array.npy
ZTF18aahjafd,13.218294444444446,23.459333333333333,VLASS3.1,2023-01-23,ia_npy_arrays\ZTF18aahjafd_VLASS3.1_array.npy
ZTF18aahptcq,10.82120277777778,26.373083333333334,VLASS1.2,2019-06-07,ia_npy_arrays\ZTF18aahptcq_VLASS1.2v2_array.npy
ZTF18aahptcq,10.82120277777778,26.373083333333334,VLASS2.2,2021-10-10,ia_npy_arrays\ZTF18aahptcq_VLASS2.2_array.npy
ZTF18aahptcq,10.82120277777778,26.373083333333334,VLASS3.2,2024-07-13,ia_npy_arrays\ZTF18aahptcq_VLASS3.2_array.npy
ZTF18aahqmsr,10.643308333333334,35.97116666666667,VLASS1.2,2019-06-04,ia_npy_arrays\ZTF18aahqmsr_VLASS1.2v2_array.npy
ZTF18aahqmsr,10.643308333333334,35.97116666666667,VLASS2.2,2021-12-04,ia_npy_arrays\ZTF18aahqmsr_VLASS2.2_array.npy
ZTF18aahqmsr,10.643308333333334,35.97116666666667,VLASS3.2,2024-07-12,ia_npy_arrays\ZTF18aahqmsr_VLASS3.2_array.npy
ZTF18aahshhp,12.680383333333332,25.75038888888889,VLASS1.1,2017-11-24,ia_npy_arrays\ZTF18aahshhp_VLASS1.1v2_array.npy
ZTF18aahshhp,12.680383333333332,25.75038888888889,VLASS2.1,2020-09-06,ia_npy_arrays\ZTF18aahshhp_VLASS2.1_array.npy
ZTF18aahshhp,12.680383333333332,25.75038888888889,VLASS3.1,2023-02-12,ia_npy_arrays\ZTF18aahshhp_VLASS3.1_array.npy
ZTF18aahtjsc,11.280341666666668,46.911,VLASS1.2,2019-05-06,ia_npy_arrays\ZTF18aahtjsc_VLASS1.2v2_array.npy
ZTF18aahtjsc,11.280341666666668,46.911,VLASS2.2,2021-12-05,ia_npy_arrays\ZTF18aahtjsc_VLASS2.2_array.npy
ZTF18aahtjsc,11.280341666666668,46.911,VLASS3.2,2024-06-11,ia_npy_arrays\ZTF18aahtjsc_VLASS3.2_array.npy
ZTF18aahvkwq,12.971733333333331,29.128722222222223,VLASS1.1,2017-11-25,ia_npy_arrays\ZTF18aahvkwq_VLASS1.1v2_array.npy
ZTF18aahvkwq,12.971733333333331,29.128722222222223,VLASS2.1,2020-10-09,ia_npy_arrays\ZTF18aahvkwq_VLASS2.1_array.npy
ZTF18aahvkwq,12.971733333333331,29.128722222222223,VLASS3.1,2023-01-18,ia_npy_arrays\ZTF18aahvkwq_VLASS3.1_array.npy
ZTF18aahvndq,13.248177777777776,27.00863888888889,VLASS1.1,2017-11-25,ia_npy_arrays\ZTF18aahvndq_VLASS1.1v2_array.npy
ZTF18aahvndq,13.248177777777776,27.00863888888889,VLASS2.1,2020-09-07,ia_npy_arrays\ZTF18aahvndq_VLASS2.1_array.npy
ZTF18aahvndq,13.248177777777776,27.00863888888889,VLASS3.1,2023-01-30,ia_npy_arrays\ZTF18aahvndq_VLASS3.1_array.npy
ZTF18aahvpcy,13.893336111111113,37.73561111111111,VLASS1.1,2017-10-14,ia_npy_arrays\ZTF18aahvpcy_VLASS1.1v2_array.npy
ZTF18aahvpcy,13.893336111111113,37.73561111111111,VLASS2.1,2020-09-16,ia_npy_arrays\ZTF18aahvpcy_VLASS2.1_array.npy
ZTF18aahvpcy,13.893336111111113,37.73561111111111,VLASS3.1,2023-03-11,ia_npy_arrays\ZTF18aahvpcy_VLASS3.1_array.npy
ZTF18aahwhbk,13.352116666666667,48.69772222222222,VLASS1.1,2017-11-19,ia_npy_arrays\ZTF18aahwhbk_VLASS1.1v2_array.npy
ZTF18aahwhbk,13.352116666666667,48.69772222222222,VLASS2.1,2020-08-01,ia_npy_arrays\ZTF18aahwhbk_VLASS2.1_array.npy
ZTF18aahwhbk,13.352116666666667,48.69772222222222,VLASS3.1,2023-02-04,ia_npy_arrays\ZTF18aahwhbk_VLASS3.1_array.npy
ZTF18aaiiigm,14.365275000000002,44.36586111111112,VLASS1.2,2019-04-14,ia_npy_arrays\ZTF18aaiiigm_VLASS1.2v2_array.npy
ZTF18aaiiigm,14.365275000000002,44.36586111111112,VLASS2.2,2021-12-24,ia_npy_arrays\ZTF18aaiiigm_VLASS2.2_array.npy
ZTF18aaiiigm,14.365275000000002,44.36586111111112,VLASS3.2,2024-07-05,ia_npy_arrays\ZTF18aaiiigm_VLASS3.2_array.npy
ZTF18aailmnv,14.280136111111112,58.48538888888889,VLASS1.1,2017-11-27,ia_npy_arrays\ZTF18aailmnv_VLASS1.1v2_array.npy
ZTF18aailmnv,14.280136111111112,58.48538888888889,VLASS2.1,2020-08-04,ia_npy_arrays\ZTF18aailmnv_VLASS2.1_array.npy
ZTF18aailmnv,14.280136111111112,58.48538888888889,VLASS3.1,2023-02-11,ia_npy_arrays\ZTF18aailmnv_VLASS3.1_array.npy
ZTF18aairuad,11.862647222222222,57.79947222222222,VLASS1.1,2017-11-27,ia_npy_arrays\ZTF18aairuad_VLASS1.1v2_array.npy
ZTF18aairuad,11.862647222222222,57.79947222222222,VLASS2.1,2020-08-23,ia_npy_arrays\ZTF18aairuad_VLASS2.1_array.npy
ZTF18aairuad,11.862647222222222,57.79947222222222,VLASS3.1,2023-02-28,ia_npy_arrays\ZTF18aairuad_VLASS3.1_array.npy
ZTF18aaisqmw,11.757166666666668,55.526944444444446,VLASS1.1,2017-09-23,ia_npy_arrays\ZTF18aaisqmw_VLASS1.1v2_array.npy
ZTF18aaisqmw,11.757166666666668,55.526944444444446,VLASS2.1,2020-08-02,ia_npy_arrays\ZTF18aaisqmw_VLASS2.1_array.npy
