Name,c,Tile,Epoch,Date,File_path
ZTF18aafzers,"<SkyCoord (ICRS): (ra, dec) in deg
    (123.02395833, 29.40394444)>",T18t11,VLASS3.2,2024-07-06,ia_npy_arrays\ZTF18aafzers_VLASS3.2_array.npy
ZTF18aagrtxs,"<SkyCoord (ICRS): (ra, dec) in deg
    (198.60604167, 50.97769444)>",T23t14,VLASS1.1,2017-11-19,ia_npy_arrays\ZTF18aagrtxs_VLASS1.1v2_array.npy
ZTF18aagrtxs,"<SkyCoord (ICRS): (ra, dec) in deg
    (198.60604167, 50.97769444)>",T23t14,VLASS2.1,2020-08-01,ia_npy_arrays\ZTF18aagrtxs_VLASS2.1_array.npy
ZTF18aagrtxs,"<SkyCoord (ICRS): (ra, dec) in deg
    (198.60604167, 50.97769444)>",T23t14,VLASS3.1,2023-02-04,ia_npy_arrays\ZTF18aagrtxs_VLASS3.1_array.npy
ZTF18aagstdc,"<SkyCoord (ICRS): (ra, dec) in deg
    (237.51479167, 42.08847222)>",T21t16,VLASS1.2,2019-03-28,ia_npy_arrays\ZTF18aagstdc_VLASS1.2v2_array.npy
ZTF18aagstdc,"<SkyCoord (ICRS): (ra, dec) in deg
    (237.51479167, 42.08847222)>",T21t16,VLASS2.2,2021-10-08,ia_npy_arrays\ZTF18aagstdc_VLASS2.2_array.npy
ZTF18aagstdc,"<SkyCoord (ICRS): (ra, dec) in deg
    (237.51479167, 42.08847222)>",T21t16,VLASS3.2,2024-06-21,ia_npy_arrays\ZTF18aagstdc_VLASS3.2_array.npy
ZTF18aagtcxj,"<SkyCoord (ICRS): (ra, dec) in deg
    (248.048125, 42.71336111)>",T21t17,VLASS1.2,2019-05-04,ia_npy_arrays\ZTF18aagtcxj_VLASS1.2v2_array.npy
ZTF18aagtcxj,"<SkyCoord (ICRS): (ra, dec) in deg
    (248.048125, 42.71336111)>",T21t17,VLASS2.2,2021-11-14,ia_npy_arrays\ZTF18aagtcxj_VLASS2.2_array.npy
ZTF18aagtcxj,"<SkyCoord (ICRS): (ra, dec) in deg
    (248.048125, 42.71336111)>",T21t17,VLASS3.2,2024-06-12,ia_npy_arrays\ZTF18aagtcxj_VLASS3.2_array.npy
